epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.6,1.23256,1.49696,1.17055,0.96007,0.93743,0.97367,0.62848,1.20684,0.94591,1.23614,0.000664845,0.000664845,0.000664845
2,238.221,1.22112,0.79092,1.17541,0.95603,0.94561,0.97373,0.63504,1.19642,0.75281,1.21771,0.00131833,0.00131833,0.00131833
3,353.877,1.22568,0.69814,1.1741,0.97668,0.95789,0.98106,0.66341,1.14104,0.58361,1.1761,0.00195861,0.00195861,0.00195861
4,466.81,1.20302,0.66187,1.16722,0.95793,0.9655,0.98494,0.66301,1.1471,0.58902,1.18449,0.0019406,0.0019406,0.0019406
5,580.982,1.17322,0.62199,1.14706,0.97266,0.97368,0.98816,0.64367,1.21028,0.53765,1.22589,0.0019208,0.0019208,0.0019208
6,695.86,1.15794,0.59099,1.13606,0.98468,0.97732,0.99247,0.69065,1.10884,0.49413,1.15636,0.001901,0.001901,0.001901
7,813.503,1.14469,0.58627,1.13277,0.98606,0.97778,0.99305,0.67861,1.1418,0.48661,1.16793,0.0018812,0.0018812,0.0018812
8,929.544,1.15008,0.5771,1.13469,0.99638,0.97895,0.99441,0.68804,1.11622,0.47989,1.14691,0.0018614,0.0018614,0.0018614
9,1047.48,1.13484,0.55909,1.12175,0.97668,0.98187,0.99253,0.68667,1.10745,0.47493,1.14774,0.0018416,0.0018416,0.0018416
10,1164.52,1.13742,0.55429,1.12497,0.98646,0.97981,0.99407,0.68809,1.11446,0.45521,1.15266,0.0018218,0.0018218,0.0018218
11,1282.65,1.12851,0.54523,1.11621,0.98613,0.98421,0.99359,0.69309,1.09538,0.45675,1.14055,0.001802,0.001802,0.001802
12,1400.66,1.11042,0.53119,1.10703,0.9912,0.98826,0.99435,0.67864,1.11144,0.45257,1.14719,0.0017822,0.0017822,0.0017822
13,1516.94,1.10979,0.53096,1.10941,0.99049,0.98187,0.99374,0.68666,1.10583,0.44277,1.14023,0.0017624,0.0017624,0.0017624
14,1633.61,1.1016,0.51944,1.10517,0.99097,0.98538,0.99417,0.69904,1.07026,0.4297,1.11997,0.0017426,0.0017426,0.0017426
15,1752.74,1.10017,0.51545,1.10376,0.99245,0.98421,0.99431,0.69355,1.10092,0.43993,1.1544,0.0017228,0.0017228,0.0017228
16,1868.29,1.09748,0.51326,1.1032,0.99107,0.98421,0.99438,0.6908,1.09542,0.44217,1.14449,0.001703,0.001703,0.001703
17,1984.53,1.09899,0.50415,1.10858,0.98509,0.99064,0.99439,0.70455,1.07006,0.41684,1.12799,0.0016832,0.0016832,0.0016832
18,2103.38,1.09233,0.5048,1.0923,0.98746,0.98129,0.99368,0.70017,1.07553,0.42765,1.12478,0.0016634,0.0016634,0.0016634
19,2217.67,1.10043,0.50023,1.10184,0.99166,0.98187,0.9943,0.70328,1.06996,0.42509,1.12326,0.0016436,0.0016436,0.0016436
20,2334.85,1.08046,0.49668,1.09386,0.9877,0.98304,0.99373,0.70153,1.06059,0.42672,1.1193,0.0016238,0.0016238,0.0016238
21,2450.21,1.08222,0.48814,1.09205,0.98656,0.98709,0.9941,0.70316,1.07419,0.41013,1.12753,0.001604,0.001604,0.001604
22,2565.5,1.07577,0.48348,1.08935,0.99177,0.9872,0.99469,0.70082,1.07456,0.40738,1.12647,0.0015842,0.0015842,0.0015842
23,2681.15,1.07162,0.48141,1.08738,0.9906,0.98606,0.99422,0.70918,1.06599,0.41208,1.12185,0.0015644,0.0015644,0.0015644
24,2798.65,1.07422,0.48244,1.0864,0.99044,0.99123,0.99477,0.70748,1.05591,0.39565,1.11322,0.0015446,0.0015446,0.0015446
25,2914.75,1.07683,0.48113,1.08752,0.99408,0.98201,0.99452,0.71038,1.06785,0.42154,1.11939,0.0015248,0.0015248,0.0015248
26,3032.07,1.0628,0.47741,1.0864,0.99004,0.98805,0.9946,0.70572,1.06789,0.40128,1.1194,0.001505,0.001505,0.001505
27,3147.25,1.06799,0.47163,1.08648,0.99528,0.98645,0.99471,0.70812,1.06602,0.39889,1.11833,0.0014852,0.0014852,0.0014852
28,3263.25,1.06154,0.46709,1.08116,0.99063,0.98945,0.9948,0.71226,1.05834,0.39515,1.11756,0.0014654,0.0014654,0.0014654
29,3380.3,1.06483,0.4699,1.08197,0.99357,0.99384,0.99464,0.70463,1.08211,0.38982,1.12241,0.0014456,0.0014456,0.0014456
30,3497.32,1.05704,0.46981,1.08255,0.99412,0.98926,0.99479,0.70172,1.07994,0.39638,1.12742,0.0014258,0.0014258,0.0014258
31,3613.16,1.05871,0.46544,1.07629,0.99294,0.98632,0.99434,0.71415,1.048,0.39725,1.10776,0.001406,0.001406,0.001406
32,3727.63,1.0499,0.45796,1.07519,0.99101,0.98538,0.99376,0.70919,1.05539,0.38688,1.11521,0.0013862,0.0013862,0.0013862
33,3843.87,1.06145,0.45939,1.08125,0.99504,0.98947,0.99466,0.71205,1.05172,0.37709,1.11384,0.0013664,0.0013664,0.0013664
34,3959.42,1.04245,0.44963,1.07251,0.99403,0.98947,0.99477,0.71551,1.04187,0.37548,1.10262,0.0013466,0.0013466,0.0013466
35,4081.85,1.04686,0.45513,1.07721,0.99008,0.99228,0.99461,0.71904,1.03222,0.37616,1.10074,0.0013268,0.0013268,0.0013268
36,4200.37,1.04503,0.45271,1.06845,0.99257,0.98655,0.99426,0.71182,1.04922,0.37946,1.10858,0.001307,0.001307,0.001307
37,4313.86,1.0391,0.45148,1.07463,0.99237,0.98927,0.99463,0.70958,1.05467,0.3764,1.11199,0.0012872,0.0012872,0.0012872
38,4430.47,1.04066,0.44836,1.07246,0.99202,0.99181,0.99468,0.71636,1.04182,0.37447,1.11061,0.0012674,0.0012674,0.0012674
39,4548.2,1.04159,0.43957,1.07459,0.9953,0.98772,0.99481,0.7186,1.04322,0.36589,1.10696,0.0012476,0.0012476,0.0012476
40,4665.6,1.04533,0.44177,1.07696,0.9963,0.98947,0.99486,0.71936,1.03237,0.36215,1.10146,0.0012278,0.0012278,0.0012278
41,4782.47,1.03353,0.44246,1.06686,0.99471,0.9893,0.9948,0.71281,1.05392,0.37311,1.10634,0.001208,0.001208,0.001208
42,4899.31,1.03533,0.43776,1.0705,0.99296,0.99002,0.99451,0.71626,1.03938,0.36387,1.10314,0.0011882,0.0011882,0.0011882
43,5016.01,1.02738,0.43483,1.05997,0.99023,0.99415,0.99462,0.7186,1.03383,0.36473,1.10593,0.0011684,0.0011684,0.0011684
44,5132.73,1.03205,0.43456,1.06711,0.99122,0.99008,0.99477,0.71318,1.04352,0.36403,1.10919,0.0011486,0.0011486,0.0011486
45,5250.05,1.03473,0.43367,1.06456,0.98836,0.99315,0.99455,0.71601,1.03854,0.36185,1.10731,0.0011288,0.0011288,0.0011288
46,5364.88,1.02668,0.43278,1.06552,0.99646,0.98814,0.99489,0.71691,1.03268,0.35909,1.10347,0.001109,0.001109,0.001109
47,5480.42,1.015,0.42841,1.06057,0.99183,0.99378,0.99469,0.71924,1.0311,0.35521,1.10098,0.0010892,0.0010892,0.0010892
48,5595.95,1.01975,0.42962,1.06295,0.99471,0.98976,0.99477,0.72079,1.03411,0.35487,1.1014,0.0010694,0.0010694,0.0010694
